RoundTrip,TxTime,RxTime
18446744073709551615,1756158904769059507,1756158904769693237
18446744073709551615,1756158904809108897,1756158904809748899
18446744073709551615,1756158904849172255,1756158904849801175
18446744073709551615,1756158904889245862,1756158904889865985
18446744073709551615,1756158904929324455,1756158904929945069
18446744073709551615,1756158904969403981,1756158904970025327
18446744073709551615,1756158905009483374,1756158905010162890
18446744073709551615,1756158905049562425,1756158905050222866
18446744073709551615,1756158905089640898,1756158905090276665
18446744073709551615,1756158905129714986,1756158905130370484
18446744073709551615,1756158905169779807,1756158905170430373
18446744073709551615,1756158905209857985,1756158905210499062
18446744073709551615,1756158905249936610,1756158905250566752
18446744073709551615,1756158905290012724,1756158905290649119
18446744073709551615,1756158905330092307,1756158905330727816
18446744073709551615,1756158905370161395,1756158905370805656
18446744073709551615,1756158905410229141,1756158905410865016
18446744073709551615,1756158905450306007,1756158905450986752
18446744073709551615,1756158905490387103,1756158905491025640
18446744073709551615,1756158905530466793,1756158905531089687
18446744073709551615,1756158905570541616,1756158905571174026
18446744073709551615,1756158905610620212,1756158905611243348
18446744073709551615,1756158905650699048,1756158905651318444
18446744073709551615,1756158905690772788,1756158905691399578
18446744073709551615,1756158905730846838,1756158905731485522
18446744073709551615,1756158905770924343,1756158905771563113
18446744073709551615,1756158905810998141,1756158905811643834
18446744073709551615,1756158905851070886,1756158905851692421
18446744073709551615,1756158905891145416,1756158905891770368
18446744073709551615,1756158905931225042,1756158905931841639
18446744073709551615,1756158905971299261,1756158905971942479
18446744073709551615,1756158906011376801,1756158906012014282
18446744073709551615,1756158906051454911,1756158906052072075
18446744073709551615,1756158906091528272,1756158906092147913
18446744073709551615,1756158906131601887,1756158906132220541
18446744073709551615,1756158906171665639,1756158906172310215
18446744073709551615,1756158906211744029,1756158906212374953
18446744073709551615,1756158906251818167,1756158906252452803
18446744073709551615,1756158906291897317,1756158906292535050
18446744073709551615,1756158906331983938,1756158906332605873
18446744073709551615,1756158906372049210,1756158906372672159
18446744073709551615,1756158906412123026,1756158906412751994
18446744073709551615,1756158906452201942,1756158906452815372
18446744073709551615,1756158906492280831,1756158906492903859
18446744073709551615,1756158906532357111,1756158906532988832
18446744073709551615,1756158906572431295,1756158906573067073
18446744073709551615,1756158906612511786,1756158906613138513
18446744073709551615,1756158906652588921,1756158906653208011
18446744073709551615,1756158906692668182,1756158906693289526
18446744073709551615,1756158906732748030,1756158906733374704
18446744073709551615,1756158906772826243,1756158906773455271
18446744073709551615,1756158906812898502,1756158906813546362
18446744073709551615,1756158906852984888,1756158906853641093
18446744073709551615,1756158906893064177,1756158906893709877
18446744073709551615,1756158906933138856,1756158906933767283
18446744073709551615,1756158906973207671,1756158906973836736
18446744073709551615,1756158907013288017,1756158907013923083
18446744073709551615,1756158907053365291,1756158907053990273
18446744073709551615,1756158907093437902,1756158907094058461
18446744073709551615,1756158907133519693,1756158907134155698
18446744073709551615,1756158907173599125,1756158907174241593
18446744073709551615,1756158907213665856,1756158907214316898
18446744073709551615,1756158907253746053,1756158907254379263
18446744073709551615,1756158907293824501,1756158907294457764
18446744073709551615,1756158907333902109,1756158907334543994
18446744073709551615,1756158907373988810,1756158907374623800
18446744073709551615,1756158907414063776,1756158907414701077
18446744073709551615,1756158907454144078,1756158907454768671
18446744073709551615,1756158907494218552,1756158907494835176
18446744073709551615,1756158907534299510,1756158907534938104
18446744073709551615,1756158907574423816,1756158907575076084
18446744073709551615,1756158907614496878,1756158907615123791
18446744073709551615,1756158907654570274,1756158907655197286
18446744073709551615,1756158907694648701,1756158907695267340
18446744073709551615,1756158907734728572,1756158907735367106
18446744073709551615,1756158907774804691,1756158907775447194
18446744073709551615,1756158907814884270,1756158907815513763
18446744073709551615,1756158907854973020,1756158907855608407
18446744073709551615,1756158907895048552,1756158907895672659
18446744073709551615,1756158907935128000,1756158907935754941
18446744073709551615,1756158907975208400,1756158907975853769
18446744073709551615,1756158908015284845,1756158908015927262
18446744073709551615,1756158908055361733,1756158908055986734
18446744073709551615,1756158908095440751,1756158908096061681
18446744073709551615,1756158908135526819,1756158908136355877
18446744073709551615,1756158908175609649,1756158908176639663
18446744073709551615,1756158908215684668,1756158908216530645
18446744073709551615,1756158908255771776,1756158908256775105
18446744073709551615,1756158908295860311,1756158908296932619
18446744073709551615,1756158908335942842,1756158908336969118
18446744073709551615,1756158908376025317,1756158908377019174
18446744073709551615,1756158908416113780,1756158908417207852
18446744073709551615,1756158908456199350,1756158908457215189
18446744073709551615,1756158908496267758,1756158908497221367
18446744073709551615,1756158908536348431,1756158908537230492
18446744073709551615,1756158908576425247,1756158908577348594
18446744073709551615,1756158908616490915,1756158908617502148
18446744073709551615,1756158908656571947,1756158908657492557
18446744073709551615,1756158908696648867,1756158908697604368
18446744073709551615,1756158908736729125,1756158908737519054
18446744073709551615,1756158908776810167,1756158908777499584
18446744073709551615,1756158908816872300,1756158908817568928
18446744073709551615,1756158908856951787,1756158908857614179
18446744073709551615,1756158908897025367,1756158908897649781
18446744073709551615,1756158908937105340,1756158908937737338
18446744073709551615,1756158908977183538,1756158908977822384
18446744073709551615,1756158909017258928,1756158909017899235
18446744073709551615,1756158909057344083,1756158909057983628
18446744073709551615,1756158909097424216,1756158909098046932
18446744073709551615,1756158909137499438,1756158909138116675
18446744073709551615,1756158909177579327,1756158909178212374
18446744073709551615,1756158909217654480,1756158909218278460
18446744073709551615,1756158909257730915,1756158909258362314
18446744073709551615,1756158909297804061,1756158909298428370
18446744073709551615,1756158909337877834,1756158909338506819
18446744073709551615,1756158909377955158,1756158909378656169
18446744073709551615,1756158909418033201,1756158909418703768
18446744073709551615,1756158909458096606,1756158909458748533
18446744073709551615,1756158909498173081,1756158909498811898
18446744073709551615,1756158909538249397,1756158909538907538
18446744073709551615,1756158909578326031,1756158909578981936
18446744073709551615,1756158909618406588,1756158909619048831
18446744073709551615,1756158909658483721,1756158909659125231
18446744073709551615,1756158909698561451,1756158909699183728
18446744073709551615,1756158909738640051,1756158909739259315
18446744073709551615,1756158909778718928,1756158909779347579
18446744073709551615,1756158909818796636,1756158909819422775
18446744073709551615,1756158909858875246,1756158909859503110
18446744073709551615,1756158909898955160,1756158909899597338
18446744073709551615,1756158909939034053,1756158909939682031
18446744073709551615,1756158909979112264,1756158909979738395
18446744073709551615,1756158910019189408,1756158910019816107
18446744073709551615,1756158910059269727,1756158910059906687
18446744073709551615,1756158910099348333,1756158910099966970
18446744073709551615,1756158910139428992,1756158910140048578
18446744073709551615,1756158910179506459,1756158910180119393
18446744073709551615,1756158910219584156,1756158910220212064
18446744073709551615,1756158910259662682,1756158910260291936
18446744073709551615,1756158910299727330,1756158910300354133
18446744073709551615,1756158910339807372,1756158910340462105
18446744073709551615,1756158910379882901,1756158910380576560
18446744073709551615,1756158910419969389,1756158910420618480
18446744073709551615,1756158910460048047,1756158910460665936
18446744073709551615,1756158910500126334,1756158910500750782
18446744073709551615,1756158910540206839,1756158910540848290
18446744073709551615,1756158910580285186,1756158910580905421
18446744073709551615,1756158910620363179,1756158910620992325
18446744073709551615,1756158910660441349,1756158910661069477
18446744073709551615,1756158910700519857,1756158910701146317
18446744073709551615,1756158910740601528,1756158910741247648
18446744073709551615,1756158910780681045,1756158910781328262
18446744073709551615,1756158910820746825,1756158910821372614
18446744073709551615,1756158910860826053,1756158910861463065
18446744073709551615,1756158910900902968,1756158910901528884
18446744073709551615,1756158910940984836,1756158910941624713
18446744073709551615,1756158910981062913,1756158910981684684
18446744073709551615,1756158911021141873,1756158911021777377
18446744073709551615,1756158911061218030,1756158911061858298
18446744073709551615,1756158911101297848,1756158911101940182
18446744073709551615,1756158911141379163,1756158911142055398
18446744073709551615,1756158911181456555,1756158911182104991
18446744073709551615,1756158911221519319,1756158911222170222
18446744073709551615,1756158911261599278,1756158911262267453
18446744073709551615,1756158911301672849,1756158911302309838
18446744073709551615,1756158911341747236,1756158911342390708
18446744073709551615,1756158911381820358,1756158911382461453
18446744073709551615,1756158911421899083,1756158911422526573
18446744073709551615,1756158911461979026,1756158911462593642
18446744073709551615,1756158911502054395,1756158911502732255
18446744073709551615,1756158911542134418,1756158911542787533
18446744073709551615,1756158911582213560,1756158911582852650
18446744073709551615,1756158911622289311,1756158911622916630
18446744073709551615,1756158911662368159,1756158911662994239
18446744073709551615,1756158911702448382,1756158911703073536
18446744073709551615,1756158911742523621,1756158911743144726
18446744073709551615,1756158911782601992,1756158911783223374
18446744073709551615,1756158911822681354,1756158911823321703
18446744073709551615,1756158911862756643,1756158911863383793
18446744073709551615,1756158911902832695,1756158911903456508
18446744073709551615,1756158911942912500,1756158911943557172
18446744073709551615,1756158911982992248,1756158911983627973
18446744073709551615,1756158912023067303,1756158912023686476
18446744073709551615,1756158912063143136,1756158912063789565
18446744073709551615,1756158912103225729,1756158912104057506
18446744073709551615,1756158912143288935,1756158912144029631
18446744073709551615,1756158912183366258,1756158912184090993
18446744073709551615,1756158912223426785,1756158912224109812
18446744073709551615,1756158912263505402,1756158912264148014
18446744073709551615,1756158912303582872,1756158912304227093
18446744073709551615,1756158912343660149,1756158912344288556
18446744073709551615,1756158912383739641,1756158912384367266
18446744073709551615,1756158912423819857,1756158912424465542
18446744073709551615,1756158912463899866,1756158912464547764
18446744073709551615,1756158912503983252,1756158912504598979
18446744073709551615,1756158912544063959,1756158912544707322
18446744073709551615,1756158912584139877,1756158912584753523
18446744073709551615,1756158912624205592,1756158912624831962
18446744073709551615,1756158912664284128,1756158912664906151
18446744073709551615,1756158912704350423,1756158912704973649
18446744073709551615,1756158912744427738,1756158912745054908
